,CBERT,BERTScore,BARTScore,R-1,R-2,R-L,,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
117,0.78,0.85,0.26,0.28,0.09,0.13,,,,,,,
118,0.81,0.86,0.37,0.47,0.24,0.3,,,,,,,
119,0.71,0.84,0.28,0.13,0.03,0.08,,,,,,,
120,0.82,0.85,0.33,0.21,0.07,0.11,,,,,,,
121,0.87,0.87,0.43,0.39,0.21,0.24,,,,,,,
122,0.87,0.87,0.5,0.28,0.18,0.21,,,,,,,
123,0.86,0.82,0.43,0.3,0.16,0.2,,,,,,,
124,0.81,0.88,0.43,0.35,0.2,0.23,,,,,,,
125,0.79,0.83,0.2,0.04,0.02,0.03,,,,,,,
126,0.72,0.84,0.37,0.05,0.02,0.04,,,,,,,
