,CBERT,BERTScore,BARTScore,R-1,R-L,,CBERT,BERTScore,BARTScore,R-1,R-L
171,0.9,0.8,0.27,0.99,0.99,,,,,,
172,0.89,0.78,0.34,1,1,,,,,,
173,0.85,0.75,0.35,1,1,,,,,,
174,0.93,0.79,0.29,1,1,,,,,,
175,0.91,0.76,0.3,0.99,0.99,,,,,,
176,0.91,0.74,0.26,1,1,,,,,,
177,0.88,0.73,0.34,1,1,,,,,,
178,0.9,0.76,0.32,1,1,,,,,,
179,0.87,0.8,0.55,0.99,0.99,,,,,,
180,0.9,0.65,0.29,0.99,0.99,,,,,,
181,0.87,0.82,0.44,1,1,,,,,,
182,0.88,0.77,0.48,1,1,,,,,,
183,0.87,0.72,0.25,0.99,0.99,,,,,,
184,0.88,0.79,0.3,1,1,,,,,,
185,0.86,0.78,0.27,0.98,0.98,,,,,,
186,0.81,0.82,0.54,1,1,,,,,,
187,0.88,0.78,0.52,1,1,,,,,,
188,0.83,0.76,0.46,0.94,0.94,,,,,,
189,0.84,0.82,0.39,1,1,,,,,,
190,0.88,0.79,0.35,1,1,,,,,,
191,0.92,0.77,0.29,1,1,,,,,,
192,0.94,0.8,0.29,1,1,,,,,,
193,0.87,0.76,0.34,1,1,,,,,,
194,0.85,0.82,0.41,0.99,0.99,,,,,,
195,0.91,0.79,0.33,1,1,,,,,,
196,0.89,0.76,0.35,1,1,,,,,,
197,0.84,0.8,0.27,0.99,0.99,,,,,,
198,0.88,0.77,0.28,1,1,,,,,,
199,0.85,0.79,0.38,1,1,,,,,,
200,0.82,0.72,0.27,1,1,,,,,,
201,0.9,0.76,0.37,1,1,,,,,,
202,0.85,0.87,0.47,1,1,,,,,,
203,0.88,0.81,0.45,0.99,0.99,,,,,,
204,0.82,0.79,0.35,0.98,0.98,,,,,,
205,0.91,0.75,0.25,1,1,,,,,,
206,0.85,0.76,0.3,1,1,,,,,,
207,0.81,0.73,0.62,0.99,0.99,,,,,,
208,0.87,0.78,0.49,1,1,,,,,,
209,0.85,0.84,0.48,0.99,0.99,,,,,,
210,0.84,0.82,0.33,1,1,,,,,,
211,0.9,0.79,0.5,0.99,0.99,,,,,,
212,0.85,0.81,0.31,0.99,0.99,,,,,,
213,0.92,0.78,0.27,1,1,,,,,,
214,0.9,0.75,0.29,1,1,,,,,,
